date,a,b,c,d,e,f,g,h,j,k,l,m,open
2015/9/24,10475,154.6,201.3327889,6.3828,44.48,156790,10690,650010,6900,169.45,95.06,7000,10490
2015/9/25,10570,159.1,132,6.3744,43.76,156450,10713.33,859800,6900,169.45,95.06,7000,10545
2015/9/28,10540,160.1,130.8,6.369,43.54,156170,10680,412904,6900,170.25,95.07,7000,10545
2015/9/29,10355,153,128.3,6.3636,43.51,155990,10680,762944,7000,170,93.57,7000,10330
2015/9/30,10325,153.4,130.4,6.3571,43.58,155400,10680,422030,7000,171.1,93.64,7000,10300
2015/10/8,10480,160,130.5,6.3537,48.1,156150,10650,403798,6900,174.2,99.39,7100,10460
2015/10/9,10510,160.5,134,6.3453,48.79,156000,10650,970774,7020,175.95,100.29,7100,10575
2015/10/12,10595,213.0924094,133.6,6.323,47.97,154720,10720,1002390,7300,176.9,99.27,7300,10555
2015/10/13,10480,160,134,6.3429,46,154930,10720,704756,7300,176.85,98.81,7300,10500
2015/10/14,10430,158.5,133.4,6.3477,45.21,154750,10753.33,841100,7400,177.4,101.04,7400,10500
2015/10/15,10505,159.3,134.2,6.346,45.05,154300,10753.33,1155768,7100,177.4,101.04,7100,10520
2015/10/16,10570,157.6,133.3,6.3529,45.71,153960,10702,897562,7100,177,99.77,7100,10520
2015/10/19,10395,155.4,130.2,6.3601,44.92,154690,10650,793650,7400,176.65,98.09,7400,10275
2015/10/20,10280,153.8,129.4,6.3488,43.87,155070,10650,678644,7400,176.45,97.03,7400,10300
2015/10/21,10225,154.2,127.7,6.3482,43.67,154800,10650,851932,7400,175.75,95.41,7400,10150
2015/10/22,10140,151,127.7,6.3574,43.44,155330,10510,869170,7400,175,94.71,7400,10135
2015/10/23,10085,151.1,128.7,6.35,43.45,154970,10504.67,1305682,7400,175.7,96.17,7400,10150
2015/10/26,9995,152.8,126.1,6.3529,43.13,154620,10504.67,991250,7400,175.5,94.64,7400,9860
2015/10/27,9780,146,123,6.3532,42.4,154590,10424.67,997656,7100,175.5,94.55,7100,9760
2015/10/28,9745,145.5,124.5,6.3592,43.2,157120,10344.67,721554,7100,174.5,92.56,7100,9730
2015/10/29,9785,147.5,125.2,6.3567,44.34,157210,10306.67,748324,7100,175,91.79,7100,9780
2015/10/30,9540,144.6,124,6.3175,43.66,157420,10277.33,638074,7100,174.8,91.32,7100,9525
2015/11/2,9560,142.9,123.2,6.3379,43.95,156060,10150.67,605204,7100,172.55,90.79,7100,9570
2015/11/3,9485,213.0924094,123,6.3366,43.89,156340,10154,705348,7100,171.9,90.27,7100,9350
2015/11/4,9395,136.8,122.3,6.336,44.43,157200,10104,656388,7100,170.8,89.89,7100,9450
2015/11/5,9410,135,121.4,6.3466,43.28,158570,10084,783112,7100,169.75,88.89,7100,9340
2015/11/6,9360,132.5,122.3,6.353,42.72,157570,10067.33,822660,7100,168.7,88.35,7100,9390
2015/11/9,9365,131.5,120.9,6.3622,42.13,157100,9976.67,718222,7000,167.35,87.19,7000,9355
2015/11/10,9405,130.8,201.3327889,6.3618,42.26,159020,9900,868280,7000,167.3,87.55,7000,9480
2015/11/11,9425,132.5,122.5,6.3665,41.53,158690,9860,1003270,7000,167.3,87.55,7000,9400
2015/11/12,9395,132,122.9,6.3692,40.21,159300,9840,849312,7000,167.3,87.67,7000,9380
2015/11/13,9460,130.1,124.3,6.374,39.21,161480,9840,817934,7000,167.05,87.44,7000,9500
2015/11/16,9320,129,122.1,6.3724,38.18,161880,9840,843340,7000,166.25,87.33,7000,9375
2015/11/17,10495,130.7,121,6.3786,38.29,161590,9833.33,828984,7000,165.2,87.42,7000,10520
2015/11/18,10465,130.5,121.2,6.3849,38.04,163200,9793.33,587388,7000,164.1,86.99,7000,10480
